Date,ANC_all
11/23/2005,90.72
11/29/2005,81.13
12/6/2005,93.32
12/13/2005,113.52
12/20/2005,105.12
12/27/2005,94.33
1/3/2006,107.32
1/10/2006,106.52
1/17/2006,102.13
1/24/2006,95.53
1/31/2006,90.72
2/7/2006,80.73
2/14/2006,103.32
2/21/2006,108.72
2/28/2006,106.92
3/8/2006,108.12
3/14/2006,72.34
3/21/2006,92.92
3/28/2006,106.32
4/4/2006,81.14
4/12/2006,88.53
4/18/2006,91.13
4/25/2006,82.73
5/2/2006,111.32
5/9/2006,109.32
5/16/2006,104.32
5/23/2006,91.13
5/30/2006,100.12
6/6/2006,100.52
6/13/2006,112.32
6/20/2006,124.11
6/27/2006,91.72
7/5/2006,118.11
7/11/2006,125.5
7/18/2006,121.1
7/25/2006,132.69
8/1/2006,143.89
8/8/2006,122.49
8/15/2006,139.09
8/22/2006,127.7
8/29/2006,126.69
9/5/2006,131.09
9/13/2006,151.69
9/19/2006,148.08
9/26/2006,152.69
10/3/2006,118.1
10/10/2006,133.69
10/17/2006,127.3
10/24/2006,115.52
10/31/2006,96.72
11/7/2006,113.32
11/15/2006,102.72
11/21/2006,116.11
11/28/2006,117.31
12/5/2006,95.12
12/12/2006,116.51
12/19/2006,119.71
12/27/2006,113.12
1/3/2007,116.31
1/9/2007,88.33
1/16/2007,111.92
1/23/2007,90.12
1/30/2007,117.91
2/6/2007,110.91
2/13/2007,116.31
2/20/2007,112.91
2/27/2007,116.71
3/7/2007,127.31
3/13/2007,116.31
3/20/2007,112.11
3/27/2007,95.92
4/3/2007,94.32
4/10/2007,102.72
4/17/2007,96.93
4/24/2007,64.76
5/1/2007,65.14
5/8/2007,81.13
5/15/2007,92.52
5/22/2007,102.53
5/29/2007,104.52
6/5/2007,107.92
6/12/2007,122.91
6/19/2007,134.5
6/26/2007,111.3
7/3/2007,134.1
7/10/2007,104.71
7/17/2007,125.9
7/24/2007,130.3
7/31/2007,143.89
8/7/2007,120.7
8/14/2007,144.29
8/21/2007,138.69
8/28/2007,139.49
9/4/2007,149.88
9/11/2007,147.08
9/18/2007,138.29
9/25/2007,151.88
10/2/2007,149.89
10/9/2007,142.29
10/16/2007,132.3
10/24/2007,99.12
10/31/2007,120.51
11/6/2007,96.53
11/13/2007,107.31
11/19/2007,97.32
11/27/2007,86.53
12/4/2007,95.12
12/11/2007,117.95
12/18/2007,112.7
12/26/2007,100.255
1/2/2008,102.61
1/8/2008,88.845
1/15/2008,115.105
1/22/2008,116.2
1/29/2008,108.88
2/7/2008,110.81
2/12/2008,116.605
2/19/2008,96.465
2/26/2008,107.475
3/3/2008,106.23
3/11/2008,100.885
3/18/2008,111.69
3/25/2008,116.615
4/1/2008,107.765
4/6/2008,102.235
4/7/2008,95.03
4/8/2008,104.91
4/12/2008,77.78
4/15/2008,83.49
4/17/2008,73.63
4/19/2008,67.41333333
4/22/2008,65.625
4/28/2008,74.83
4/29/2008,58.85
4/30/2008,68.43
5/6/2008,94.965
5/13/2008,105.525
5/20/2008,108.245
5/27/2008,109.07
6/3/2008,117.155
6/4/2008,106.5633333
6/6/2008,109.415
6/10/2008,128.095
6/15/2008,114.175
6/17/2008,118.485
6/22/2008,114.73
6/23/2008,112.6775
6/24/2008,113.284
6/29/2008,122.125
7/1/2008,136.535
7/3/2008,116.09
7/4/2008,135.59
7/8/2008,133.025
7/9/2008,98.302
7/15/2008,129.1
7/22/2008,117.51
7/29/2008,98.52
8/5/2008,97.92
8/12/2008,108.52
8/19/2008,108.91
8/26/2008,128.5
9/2/2008,135.49
9/9/2008,137.636
9/16/2008,138.125
9/23/2008,149.5833333
9/24/2008,150.295
9/25/2008,156.21
9/26/2008,154.98
9/27/2008,136.785
9/28/2008,145.44
9/29/2008,147.62
9/30/2008,152.222
10/1/2008,143.422
10/2/2008,128.615
10/3/2008,141.225
10/4/2008,132.95
10/5/2008,144.945
10/6/2008,147.67
10/7/2008,147.8666667
10/8/2008,141.12
10/9/2008,151.06
10/10/2008,144.41
10/11/2008,153.87
10/12/2008,136.47
10/13/2008,155.37
10/14/2008,147.44
10/15/2008,156.58
10/16/2008,140.225
10/17/2008,131.8966667
10/18/2008,143.58
10/19/2008,138.45
10/20/2008,135.33
10/21/2008,141.4933333
10/22/2008,128.824
10/23/2008,138.18
10/24/2008,135.13
10/25/2008,135.965
10/26/2008,86.48333333
10/27/2008,114.98
10/28/2008,129.4233333
11/3/2008,128.75
11/4/2008,111.11
11/10/2008,113.35
11/18/2008,125.915
11/26/2008,93.06
12/2/2008,101.71
12/9/2008,115.915
12/16/2008,92.725
12/23/2008,119.18
12/30/2008,108.12
1/6/2009,103.29
1/13/2009,111.005
1/20/2009,123.27
1/27/2009,113.605
2/2/2009,125.345
2/11/2009,110.595
2/17/2009,114.96
2/24/2009,116.915
3/4/2009,108.275
3/7/2009,111.77
3/10/2009,113.065
3/11/2009,82.56666667
3/17/2009,99.73666667
3/19/2009,102.75
3/20/2009,115.31
3/25/2009,119.125
3/27/2009,92.34
3/28/2009,97.75333333
3/29/2009,94.7225
3/30/2009,81.81666667
3/31/2009,97.78333333
4/1/2009,101.64
4/2/2009,92.395
4/3/2009,65.77333333
4/4/2009,85.64
4/5/2009,81.81
4/6/2009,87.37666667
4/7/2009,87.15
4/8/2009,94.95
4/9/2009,89.77
4/10/2009,85.6
4/11/2009,79.33
4/12/2009,100.4
4/13/2009,98.1
4/14/2009,95.45333333
4/15/2009,90.08
4/16/2009,91.18
4/17/2009,96.76
4/18/2009,82.51
4/19/2009,87.67
4/20/2009,86.16
4/21/2009,81.01
4/23/2009,84.92
4/28/2009,104.36
4/30/2009,103.65
5/2/2009,90.665
5/5/2009,107.725
5/7/2009,93.35
5/9/2009,92.526
5/10/2009,90.91
5/12/2009,104.24
5/16/2009,96.81
5/17/2009,93.75
5/19/2009,100.49
5/26/2009,115.155
5/29/2009,105.42
5/30/2009,99.32
6/2/2009,119.71
6/9/2009,107.67
6/10/2009,124.245
6/12/2009,118.03
6/15/2009,84.24142857
6/16/2009,118.995
6/23/2009,120.215
6/29/2009,107.785
6/30/2009,119.73
7/2/2009,110.34
7/4/2009,101.315
7/7/2009,109.31
7/14/2009,115.51
7/18/2009,106.5933333
7/21/2009,114.07
7/24/2009,120.39
7/28/2009,124.15
7/29/2009,83.94625
7/30/2009,88.53
8/4/2009,123.9
8/11/2009,130.9
8/18/2009,136.125
8/21/2009,143.655
8/25/2009,144.295
9/1/2009,153.72
9/8/2009,147.78
9/15/2009,151.395
9/23/2009,138.79
9/27/2009,122.06
9/29/2009,126.905
10/3/2009,111.53
10/6/2009,125.315
10/7/2009,119.6733333
10/13/2009,121.28
10/20/2009,142.835
10/24/2009,91.58333333
10/25/2009,112.96
10/28/2009,130.88
10/31/2009,116.68
11/4/2009,129.11
11/10/2009,122.1
11/17/2009,105.11
11/20/2009,87.808
11/24/2009,125.23
11/28/2009,91.11
12/1/2009,103.47
12/3/2009,77.18142857
12/8/2009,108.42
12/16/2009,100.775
12/22/2009,108.19
12/29/2009,105.58
1/5/2010,114.125
1/12/2010,100.51
1/19/2010,117.265
1/26/2010,88.81
2/2/2010,119.91
2/9/2010,104.31
2/16/2010,121.11
2/23/2010,119.51
3/2/2010,116.91
3/9/2010,100.26
3/16/2010,107.71
3/24/2010,92.355
3/30/2010,79.305
4/6/2010,102.42
4/13/2010,91.46
4/20/2010,83.015
4/26/2010,101.995
5/4/2010,90.055
5/11/2010,102.66
5/18/2010,111.905
5/25/2010,114.955
6/1/2010,119.9275
6/5/2010,126.83
6/6/2010,113.656
6/8/2010,121.26
6/10/2010,100.065
6/15/2010,129.965
6/17/2010,129.79
6/20/2010,120.485
6/22/2010,126.575
6/23/2010,129.93
6/24/2010,116.98
6/28/2010,120.05
6/29/2010,128.2
7/6/2010,132.89
7/13/2010,143.29
7/19/2010,146.265
7/20/2010,143.34
7/21/2010,119.2383333
7/27/2010,155.135
8/2/2010,136.7
8/3/2010,155.57
8/4/2010,110.92375
8/9/2010,142.675
8/10/2010,150.925
8/16/2010,143.315
8/17/2010,154.0233333
8/19/2010,128.1966667
8/24/2010,150.255
8/31/2010,164.98
9/7/2010,172.01
9/14/2010,164.545
9/15/2010,146.435
9/16/2010,149.59
9/17/2010,129.15
9/21/2010,147.4
9/29/2010,160.345
9/30/2010,105.409
10/1/2010,86.09666667
10/5/2010,126.53
10/7/2010,114.53
10/12/2010,137.605
10/15/2010,86.19166667
10/19/2010,119.07
10/26/2010,131.115
10/27/2010,114.9266667
11/2/2010,117.805
11/5/2010,102.255
11/9/2010,118.495
11/16/2010,115.755
11/17/2010,94.8
11/23/2010,88.97
11/30/2010,110.95
12/1/2010,71.76
12/4/2010,82.65
12/7/2010,108.51
12/14/2010,98.24
12/21/2010,113.965
12/28/2010,115.165
1/4/2011,108.39
1/11/2011,109.84
1/20/2011,128.54
1/25/2011,120.31
2/1/2011,120.595
2/9/2011,123.1
2/15/2011,124.205
2/22/2011,126.7
3/1/2011,129.71
3/8/2011,105.145
3/15/2011,105.98
3/23/2011,121.035
3/29/2011,107.83
4/5/2011,106.065
4/10/2011,75.7
4/11/2011,62.918
4/12/2011,70.97
4/16/2011,87.18
4/17/2011,68.69
4/19/2011,88.58
4/20/2011,61.336
4/22/2011,73.15
4/26/2011,65.58
4/27/2011,57.59
4/29/2011,76.24
5/2/2011,73.335
5/10/2011,92.675
5/15/2011,85.13333333
5/16/2011,85.94
5/17/2011,84.715
5/20/2011,91.055
5/21/2011,103.372
5/24/2011,107.36
5/26/2011,81.60666667
5/27/2011,70.68
5/28/2011,87.8475
5/30/2011,97.77
5/31/2011,97.475
6/7/2011,110.635
6/9/2011,122.945
6/11/2011,114.68
6/12/2011,98.01
6/14/2011,103.345
6/18/2011,120.115
6/21/2011,124.05
6/24/2011,128.19
6/26/2011,112.51
6/29/2011,125.9
7/5/2011,130.95
7/6/2011,142.09
7/11/2011,144.59
